week_start_date,week_end_date,employee_id,credits_used,sessions
29-12-2025,04-01-2026,NSF100009,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100012,"{""total_credits"":20,""Chat"":{""total_credits"":17,""LLM-instant"":14,""LLM-thinking"":3,""LLM-pro"":0},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",4
29-12-2025,04-01-2026,NSF100013,"{""total_credits"":28,""Chat"":{""total_credits"":25,""LLM-instant"":18,""LLM-thinking"":6,""LLM-pro"":1},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",2
29-12-2025,04-01-2026,NSF100018,"{""total_credits"":33,""Chat"":{""total_credits"":29,""LLM-instant"":25,""LLM-thinking"":3,""LLM-pro"":1},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",2
29-12-2025,04-01-2026,NSF100019,"{""total_credits"":38,""Chat"":{""total_credits"":34,""LLM-instant"":27,""LLM-thinking"":6,""LLM-pro"":1},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":1,""LLM-pro"":0}}",7
29-12-2025,04-01-2026,NSF100021,"{""total_credits"":31,""Chat"":{""total_credits"":28,""LLM-instant"":19,""LLM-thinking"":8,""LLM-pro"":1},""Excel"":{""total_credits"":3,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100025,"{""total_credits"":0,""Chat"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Excel"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",0
29-12-2025,04-01-2026,NSF100029,"{""total_credits"":23,""Chat"":{""total_credits"":19,""LLM-instant"":15,""LLM-thinking"":3,""LLM-pro"":1},""Excel"":{""total_credits"":4,""LLM-instant"":1,""LLM-thinking"":2,""LLM-pro"":1},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",1
29-12-2025,04-01-2026,NSF100030,"{""total_credits"":29,""Chat"":{""total_credits"":26,""LLM-instant"":18,""LLM-thinking"":6,""LLM-pro"":2},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":1,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":1}}",1
29-12-2025,04-01-2026,NSF100031,"{""total_credits"":13,""Chat"":{""total_credits"":11,""LLM-instant"":8,""LLM-thinking"":2,""LLM-pro"":1},""Excel"":{""total_credits"":2,""LLM-instant"":1,""LLM-thinking"":1,""LLM-pro"":0},""Coding IDE"":{""total_credits"":0,""LLM-instant"":0,""LLM-thinking"":0,""LLM-pro"":0}}",4
